PVC Instance Type,Recommended Nitro Instance Type,
m4.large,m5n.large,FALSE
m4.xlarge,m5n.xlarge,FALSE
m4.2xlarge,m5n.2xlarge,FALSE
m4.4xlarge,m5n.4xlarge,FALSE
m4.10xlarge,m5n.12xlarge,FALSE
m4.16xlarge,m5n.16xlarge,FALSE
m5.large,m5n.large,FALSE
m5.xlarge,m5n.xlarge,FALSE
m5.2xlarge,m5n.2xlarge,FALSE
m5.4xlarge,m5n.4xlarge,FALSE
m5.8xlarge,m5n.8xlarge,FALSE
m5.12xlarge,m5n.12xlarge,FALSE
m5.16xlarge,m5n.16xlarge,FALSE
m5.24xlarge,m5n.24xlarge,FALSE
m5d.large,m5dn.large,FALSE
m5d.xlarge,m5dn.xlarge,FALSE
m5d.2xlarge,m5dn.2xlarge,FALSE
m5d.4xlarge,m5dn.4xlarge,FALSE
m5d.8xlarge,m5dn.8xlarge,FALSE
m5d.12xlarge,m5dn.12xlarge,FALSE
m5d.16xlarge,m5dn.16xlarge,FALSE
m5d.24xlarge,m5dn.24xlarge,FALSE
m5a.large,m5n.large,FALSE
m5a.xlarge,m5n.xlarge,FALSE
m5a.2xlarge,m5n.2xlarge,FALSE
m5a.4xlarge,m5n.4xlarge,FALSE
m5a.8xlarge,m5n.8xlarge,FALSE
m5a.12xlarge,m5n.12xlarge,FALSE
m5a.16xlarge,m5n.16xlarge,FALSE
m5a.24xlarge,m5n.24xlarge,FALSE
m6g.large,m5n.large,FALSE
m6g.xlarge,m5n.xlarge,FALSE
m6g.2xlarge,m5n.2xlarge,FALSE
m6g.4xlarge,m5n.4xlarge,FALSE
m6g.8xlarge,m5n.8xlarge,FALSE
m6g.12xlarge,m5n.12xlarge,FALSE
m6g.16xlarge,m5n.16xlarge,FALSE
m6gd.large,m5dn.large,FALSE
m6gd.xlarge,m5dn.xlarge,FALSE
m6gd.2xlarge,m5dn.2xlarge,FALSE
m6gd.4xlarge,m5dn.4xlarge,FALSE
m6gd.8xlarge,m5dn.8xlarge,FALSE
m6gd.12xlarge,m5dn.12xlarge,FALSE
m6gd.16xlarge,m5dn.16xlarge,FALSE
c4.2xlarge,c5a.2xlarge,FALSE
c4.4xlarge,c5a.4xlarge,FALSE
c4.8xlarge,c5a.8xlarge,FALSE
c5.xlarge,c5a.xlarge,FALSE
c5.2xlarge,c5a.2xlarge,FALSE
c5.4xlarge,c5a.4xlarge,FALSE
c5.9xlarge,c5a.8xlarge,FALSE
c5.12xlarge,c5a.12xlarge,FALSE
c5.18xlarge,c5a.16xlarge,FALSE
c5.24xlarge,c5a.24xlarge,FALSE
c5d.xlarge,c5ad.xlarge,FALSE
c5d.2xlarge,c5ad.2xlarge,FALSE
c5d.4xlarge,c5ad.4xlarge,FALSE
c5d.9xlarge,c5ad.8xlarge,FALSE
c5d.12xlarge,c5ad.12xlarge,FALSE
c5d.18xlarge,c5ad.16xlarge,FALSE
c5d.24xlarge,c5ad.24xlarge,FALSE
c6g.xlarge,c5a.xlarge,FALSE
c6g.2xlarge,c5a.2xlarge,FALSE
c6g.4xlarge,c5a.4xlarge,FALSE
c6g.8xlarge,c5a.8xlarge,FALSE
c6g.12xlarge,c5a.12xlarge,FALSE
c6g.16xlarge,c5a.16xlarge,FALSE
c6gd.xlarge,c5ad.xlarge,FALSE
c6gd.2xlarge,c5ad.2xlarge,FALSE
c6gd.4xlarge,c5ad.4xlarge,FALSE
c6gd.8xlarge,c5ad.8xlarge,FALSE
c6gd.12xlarge,c5ad.12xlarge,FALSE
c6gd.16xlarge,c5ad.16xlarge,FALSE
r3.xlarge,r5n.xlarge,FALSE
r3.2xlarge,r5n.2xlarge,FALSE
r3.4xlarge,r5n.4xlarge,FALSE
r3.8xlarge,r5n.8xlarge,FALSE
r4.xlarge,r5n.xlarge,FALSE
r4.2xlarge,r5n.2xlarge,FALSE
r4.4xlarge,r5n.4xlarge,FALSE
r4.8xlarge,r5n.8xlarge,FALSE
r4.16xlarge,r5n.16xlarge,FALSE
r5.large,r5n.large,FALSE
r5.xlarge,r5n.xlarge,FALSE
r5.2xlarge,r5n.2xlarge,FALSE
r5.4xlarge,r5n.4xlarge,FALSE
r5.8xlarge,r5n.8xlarge,FALSE
r5.12xlarge,r5n.12xlarge,FALSE
r5.16xlarge,r5n.16xlarge,FALSE
r5.24xlarge,r5n.24xlarge,FALSE
r5d.large,r5dn.large,FALSE
r5d.xlarge,r5dn.xlarge,FALSE
r5d.2xlarge,r5dn.2xlarge,FALSE
r5d.4xlarge,r5dn.4xlarge,FALSE
r5d.8xlarge,r5dn.8xlarge,FALSE
r5d.12xlarge,r5dn.12xlarge,FALSE
r5d.16xlarge,r5dn.16xlarge,FALSE
r5d.24xlarge,r5dn.24xlarge,FALSE
r5a.large,r5n.large,FALSE
r5a.xlarge,r5n.xlarge,FALSE
r5a.2xlarge,r5n.2xlarge,FALSE
r5a.4xlarge,r5n.4xlarge,FALSE
r5a.8xlarge,r5n.8xlarge,FALSE
r5a.12xlarge,r5n.12xlarge,FALSE
r5a.16xlarge,r5n.16xlarge,FALSE
r5a.24xlarge,r5n.24xlarge,FALSE
r6g.large,r5n.large,FALSE
r6g.xlarge,r5n.xlarge,FALSE
r6g.2xlarge,r5n.2xlarge,FALSE
r6g.4xlarge,r5n.4xlarge,FALSE
r6g.8xlarge,r5n.8xlarge,FALSE
r6g.12xlarge,r5n.12xlarge,FALSE
r6g.16xlarge,r5n.16xlarge,FALSE
r6gd.large,r5dn.large,FALSE
r6gd.xlarge,r5dn.xlarge,FALSE
r6gd.2xlarge,r5dn.2xlarge,FALSE
r6gd.4xlarge,r5dn.4xlarge,FALSE
r6gd.8xlarge,r5dn.8xlarge,FALSE
r6gd.12xlarge,r5dn.12xlarge,FALSE
r6gd.16xlarge,r5dn.16xlarge,FALSE
i3.large,i4i.large,FALSE
i3.xlarge,i4i.xlarge,FALSE
i3.2xlarge,i4i.2xlarge,FALSE
i3.4xlarge,i4i.4xlarge,FALSE
i3.8xlarge,i4i.8xlarge,FALSE
i3.16xlarge,i4i.16xlarge,FALSE
i2.xlarge,i3en.xlarge,FALSE
i2.2xlarge,i3en.2xlarge,FALSE
i2.4xlarge,i3en.3xlarge,FALSE
i2.8xlarge,i3en.6xlarge,FALSE
p2.xlargeGPU,g4ad.4xlargeGPU,FALSE
p2.8xlargeGPU,g4ad.8xlargeGPU,FALSE
p2.16xlargeGPU,g4ad.16xlargeGPU,FALSE
p3.2xlargeGPU,g4ad.4xlargeGPU,FALSE
p3.8xlargeGPU,g4ad.8xlargeGPU,FALSE
p3.16xlargeGPU,g4ad.16xlargeGPU,FALSE
g5.xlargeGPU,g4dn.xlargeGPU,FALSE
g5.2xlargeGPU,g4dn.2xlargeGPU,FALSE
g5.4xlargeGPU,g4dn.4xlargeGPU,FALSE
g5.8xlargeGPU,g4dn.8xlargeGPU,FALSE
g5.16xlargeGPU,g4dn.12xlargeGPU,FALSE
g5.12xlargeGPU,g4dn.16xlargeGPU,FALSE
g5.24xlargeGPU,p3dn.24xlargeGPU,FALSE
g5.48xlargeGPU,p3dn.24xlargeGPU,FALSE
z1d.large,r5n.large,FALSE
z1d.xlarge,r5n.xlarge,FALSE
z1d.2xlarge,r5n.2xlarge,FALSE
z1d.3xlarge,r5n.4xlarge,FALSE
z1d.6xlarge,r5n.8xlarge,FALSE
z1d.12xlarge,r5n.12xlarge,FALSE
m5n.large,m5n.large,FALSE
m5n.xlarge,m5n.xlarge,FALSE
m5n.2xlarge,m5n.2xlarge,FALSE
m5n.4xlarge,m5n.4xlarge,FALSE
m5n.12xlarge,m5n.12xlarge,FALSE
m5n.16xlarge,m5n.16xlarge,FALSE
m5n.large,m5n.large,FALSE
m5n.xlarge,m5n.xlarge,FALSE
m5n.2xlarge,m5n.2xlarge,FALSE
m5n.4xlarge,m5n.4xlarge,FALSE
m5n.8xlarge,m5n.8xlarge,FALSE
m5n.12xlarge,m5n.12xlarge,FALSE
m5n.16xlarge,m5n.16xlarge,FALSE
m5n.24xlarge,m5n.24xlarge,FALSE
m5dn.large,m5dn.large,FALSE
m5dn.xlarge,m5dn.xlarge,FALSE
m5dn.2xlarge,m5dn.2xlarge,FALSE
m5dn.4xlarge,m5dn.4xlarge,FALSE
m5dn.8xlarge,m5dn.8xlarge,FALSE
m5dn.12xlarge,m5dn.12xlarge,FALSE
m5dn.16xlarge,m5dn.16xlarge,FALSE
m5dn.24xlarge,m5dn.24xlarge,FALSE
m5n.large,m5n.large,FALSE
m5n.xlarge,m5n.xlarge,FALSE
m5n.2xlarge,m5n.2xlarge,FALSE
m5n.4xlarge,m5n.4xlarge,FALSE
m5n.8xlarge,m5n.8xlarge,FALSE
m5n.12xlarge,m5n.12xlarge,FALSE
m5n.16xlarge,m5n.16xlarge,FALSE
m5n.24xlarge,m5n.24xlarge,FALSE
m5n.large,m5n.large,FALSE
m5n.xlarge,m5n.xlarge,FALSE
m5n.2xlarge,m5n.2xlarge,FALSE
m5n.4xlarge,m5n.4xlarge,FALSE
m5n.8xlarge,m5n.8xlarge,FALSE
m5n.12xlarge,m5n.12xlarge,FALSE
m5n.16xlarge,m5n.16xlarge,FALSE
m5dn.large,m5dn.large,FALSE
m5dn.xlarge,m5dn.xlarge,FALSE
m5dn.2xlarge,m5dn.2xlarge,FALSE
m5dn.4xlarge,m5dn.4xlarge,FALSE
m5dn.8xlarge,m5dn.8xlarge,FALSE
m5dn.12xlarge,m5dn.12xlarge,FALSE
m5dn.16xlarge,m5dn.16xlarge,FALSE
c5a.2xlarge,c5a.2xlarge,FALSE
c5a.4xlarge,c5a.4xlarge,FALSE
c5a.8xlarge,c5a.8xlarge,FALSE
c5a.xlarge,c5a.xlarge,FALSE
c5a.2xlarge,c5a.2xlarge,FALSE
c5a.4xlarge,c5a.4xlarge,FALSE
c5a.8xlarge,c5a.8xlarge,FALSE
c5a.12xlarge,c5a.12xlarge,FALSE
c5a.16xlarge,c5a.16xlarge,FALSE
c5a.24xlarge,c5a.24xlarge,FALSE
c5ad.xlarge,c5ad.xlarge,FALSE
c5ad.2xlarge,c5ad.2xlarge,FALSE
c5ad.4xlarge,c5ad.4xlarge,FALSE
c5ad.8xlarge,c5ad.8xlarge,FALSE
c5ad.12xlarge,c5ad.12xlarge,FALSE
c5ad.16xlarge,c5ad.16xlarge,FALSE
c5ad.24xlarge,c5ad.24xlarge,FALSE
c5a.xlarge,c5a.xlarge,FALSE
c5a.2xlarge,c5a.2xlarge,FALSE
c5a.4xlarge,c5a.4xlarge,FALSE
c5a.8xlarge,c5a.8xlarge,FALSE
c5a.12xlarge,c5a.12xlarge,FALSE
c5a.16xlarge,c5a.16xlarge,FALSE
c5ad.xlarge,c5ad.xlarge,FALSE
c5ad.2xlarge,c5ad.2xlarge,FALSE
c5ad.4xlarge,c5ad.4xlarge,FALSE
c5ad.8xlarge,c5ad.8xlarge,FALSE
c5ad.12xlarge,c5ad.12xlarge,FALSE
c5ad.16xlarge,c5ad.16xlarge,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.16xlarge,r5n.16xlarge,FALSE
r5n.large,r5n.large,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.12xlarge,r5n.12xlarge,FALSE
r5n.16xlarge,r5n.16xlarge,FALSE
r5n.24xlarge,r5n.24xlarge,FALSE
r5dn.large,r5dn.large,FALSE
r5dn.xlarge,r5dn.xlarge,FALSE
r5dn.2xlarge,r5dn.2xlarge,FALSE
r5dn.4xlarge,r5dn.4xlarge,FALSE
r5dn.8xlarge,r5dn.8xlarge,FALSE
r5dn.12xlarge,r5dn.12xlarge,FALSE
r5dn.16xlarge,r5dn.16xlarge,FALSE
r5dn.24xlarge,r5dn.24xlarge,FALSE
r5n.large,r5n.large,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.12xlarge,r5n.12xlarge,FALSE
r5n.16xlarge,r5n.16xlarge,FALSE
r5n.24xlarge,r5n.24xlarge,FALSE
r5n.large,r5n.large,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.12xlarge,r5n.12xlarge,FALSE
r5n.16xlarge,r5n.16xlarge,FALSE
r5dn.large,r5dn.large,FALSE
r5dn.xlarge,r5dn.xlarge,FALSE
r5dn.2xlarge,r5dn.2xlarge,FALSE
r5dn.4xlarge,r5dn.4xlarge,FALSE
r5dn.8xlarge,r5dn.8xlarge,FALSE
r5dn.12xlarge,r5dn.12xlarge,FALSE
r5dn.16xlarge,r5dn.16xlarge,FALSE
i4i.large,i4i.large,FALSE
i4i.xlarge,i4i.xlarge,FALSE
i4i.2xlarge,i4i.2xlarge,FALSE
i4i.4xlarge,i4i.4xlarge,FALSE
i4i.8xlarge,i4i.8xlarge,FALSE
i4i.16xlarge,i4i.16xlarge,FALSE
i3en.xlarge,i3en.xlarge,FALSE
i3en.2xlarge,i3en.2xlarge,FALSE
i3en.3xlarge,i3en.3xlarge,FALSE
i3en.6xlarge,i3en.6xlarge,FALSE
g4ad.4xlargeGPU,g4ad.4xlargeGPU,FALSE
g4ad.8xlargeGPU,g4ad.8xlargeGPU,FALSE
g4ad.16xlargeGPU,g4ad.16xlargeGPU,FALSE
g4ad.4xlargeGPU,g4ad.4xlargeGPU,FALSE
g4ad.8xlargeGPU,g4ad.8xlargeGPU,FALSE
g4ad.16xlargeGPU,g4ad.16xlargeGPU,FALSE
g4dn.xlargeGPU,g4dn.xlargeGPU,FALSE
g4dn.2xlargeGPU,g4dn.2xlargeGPU,FALSE
g4dn.4xlargeGPU,g4dn.4xlargeGPU,FALSE
g4dn.8xlargeGPU,g4dn.8xlargeGPU,FALSE
g4dn.12xlargeGPU,g4dn.12xlargeGPU,FALSE
g4dn.16xlargeGPU,g4dn.16xlargeGPU,FALSE
p3dn.24xlargeGPU,p3dn.24xlargeGPU,FALSE
p3dn.24xlargeGPU,p3dn.24xlargeGPU,FALSE
r5n.large,r5n.large,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.12xlarge,r5n.12xlarge,FALSE
